"Country";"Type";"Year";"Number"
"VENEZUELA";"PC";2008;88116
"AUSTRALIA";"PC";2008;285590
"CHINA";"PC";2008;6737745
"INDIA";"PC";2008;1829677
"INDONESIA";"PC";2008;431423
"IRAN";"PC";2008;940870
"JAPAN";"PC";2008;9916149
"MALAYSIA";"PC";2008;419963
"PAKISTAN";"PC";2008;98425
"PHILIPPINES";"PC";2008;46458
"SOUTH KOREA";"PC";2008;3450478
"TAIWAN";"PC";2008;138709
"THAILAND";"PC";2008;401309
"VIETNAM";"PC";2008;31684
"EGYPT";"PC";2008;72485
"MOROCCO";"PC";2008;32056
"NIGERIA";"PC";2008;2040
"SOUTH AFRICA";"PC";2008;321124
"AUSTRIA";"PC";2009;56620
"BELGIUM";"PC";2009;524595
"FINLAND";"PC";2009;10907
"FRANCE";"PC";2009;1819497
"GERMANY";"PC";2009;4964523
"ITALY";"PC";2009;661100
"NETHERLANDS";"PC";2009;50620
"PORTUGAL";"PC";2009;101680
"SPAIN";"PC";2009;1812688
"SWEDEN";"PC";2009;128738
"UNITED KINGDOM";"PC";2009;999460
"CZECH REPUBLIC";"PC";2009;976435
"HUNGARY";"PC";2009;212773
"POLAND";"PC";2009;818800
"ROMANIA";"PC";2009;279320
"SLOVAKIA";"PC";2009;461340
"SLOVENIA";"PC";2009;202570
"SERBIA";"PC";2009;16337
"RUSSIA";"PC";2009;599265
"UKRAINE";"PC";2009;65646
"UZBEKISTAN";"PC";2009;110200
"TURKEY";"PC";2009;510931
"CANADA";"PC";2009;822267
"MEXICO";"PC";2009;942876
"USA";"PC";2009;2195588
"ARGENTINA";"PC";2009;380067
"BRAZIL";"PC";2009;2575418
"COLOMBIA";"PC";2009;24679
"VENEZUELA";"PC";2009;71907
"AUSTRALIA";"PC";2009;188158
"CHINA";"PC";2009;10383831
"INDIA";"PC";2009;2175220
"INDONESIA";"PC";2009;352172
"IRAN";"PC";2009;1170503
"JAPAN";"PC";2009;6862161
"MALAYSIA";"PC";2009;447002
"PAKISTAN";"PC";2009;92552
"PHILIPPINES";"PC";2009;43558
"SOUTH KOREA";"PC";2009;3158417
"TAIWAN";"PC";2009;183986
"THAILAND";"PC";2009;313442
"VIETNAM";"PC";2009;32085
"EGYPT";"PC";2009;60249
"MOROCCO";"PC";2009;37573
"SOUTH AFRICA";"PC";2009;222981
"AUSTRIA";"PC";2010;86183
"BELGIUM";"PC";2010;528996
"FINLAND";"PC";2010;6385
"FRANCE";"PC";2010;1924171
"GERMANY";"PC";2010;5552409
"ITALY";"PC";2010;573169
"NETHERLANDS";"PC";2010;48025
"PORTUGAL";"PC";2010;114563
"SPAIN";"PC";2010;1913513
"SWEDEN";"PC";2010;177084
"UNITED KINGDOM";"PC";2010;1270444
"CZECH REPUBLIC";"PC";2010;1069518
"HUNGARY";"PC";2010;208571
"POLAND";"PC";2010;785000
"ROMANIA";"PC";2010;323587
"SLOVAKIA";"PC";2010;561933
"SLOVENIA";"PC";2010;201039
"SERBIA";"PC";2010;14551
"RUSSIA";"PC";2010;1208362
"UKRAINE";"PC";2010;75261
"UZBEKISTAN";"PC";2010;130400
"TURKEY";"PC";2010;603394
"CANADA";"PC";2010;967077
"MEXICO";"PC";2010;1386148
"USA";"PC";2010;2731105
"ARGENTINA";"PC";2010;508401
"BRAZIL";"PC";2010;2584690
"COLOMBIA";"PC";2010;37197
"VENEZUELA";"PC";2010;73757
"AUSTRALIA";"PC";2010;205334
"CHINA";"PC";2010;13897083
"INDIA";"PC";2010;2831542
"INDONESIA";"PC";2010;496524
"IRAN";"PC";2010;1367014
"JAPAN";"PC";2010;8310362
"MALAYSIA";"PC";2010;522568
"PAKISTAN";"PC";2010;130625
"PHILIPPINES";"PC";2010;56128
"SOUTH KOREA";"PC";2010;3866206
"TAIWAN";"PC";2010;251490
"THAILAND";"PC";2010;554387
"VIETNAM";"PC";2010;40334
"EGYPT";"PC";2010;76412
"MOROCCO";"PC";2010;35546
"SOUTH AFRICA";"PC";2010;295394
"AUSTRIA";"PC";2011;130343
"BELGIUM";"PC";2011;562386
"FINLAND";"PC";2011;2540
"FRANCE";"PC";2011;1931030
"GERMANY";"PC";2011;5871918
"ITALY";"PC";2011;485606
"NETHERLANDS";"PC";2011;40772
"PORTUGAL";"PC";2011;141779
"SPAIN";"PC";2011;1819453
"SWEDEN";"PC";2011;188969
"UNITED KINGDOM";"PC";2011;1343810
"CZECH REPUBLIC";"PC";2011;1191968
"HUNGARY";"PC";2011;2
"POLAND";"PC";2011;740000
"ROMANIA";"PC";2011;310243
"SLOVAKIA";"PC";2011;639763
"SLOVENIA";"PC";2011;168955
"SERBIA";"PC";2011;15050
"RUSSIA";"PC";2011;1738163
"UKRAINE";"PC";2011;97585
"UZBEKISTAN";"PC";2011;146300
"TURKEY";"PC";2011;639734
"CANADA";"PC";2011;990483
"MEXICO";"PC";2011;1657080
"USA";"PC";2011;2966133
"ARGENTINA";"PC";2011;577233
"BRAZIL";"PC";2011;2534534
"COLOMBIA";"PC";2011;30000
"VENEZUELA";"PC";2011;69115
"AUSTRALIA";"PC";2011;189503
"CHINA";"PC";2011;14485326
"INDIA";"PC";2011;3053871
"INDONESIA";"PC";2011;561863
"IRAN";"PC";2011;1413276
"JAPAN";"PC";2011;7158525
"MALAYSIA";"PC";2011;496440
"PAKISTAN";"PC";2011;139200
"PHILIPPINES";"PC";2011;43280
"SOUTH KOREA";"PC";2011;4221617
"TAIW AN";"PC";2011;288523
"THAILAND";"PC";2011;549770
"VIETNAM";"PC";2011;43780
"EGYPT";"PC";2011;53072
"MOROCCO";"PC";2011;43240
"SOUTH AFRICA";"PC";2011;312265
"AUSTRIA";"PC";2012;123602
"BELGIUM";"PC";2012;504076
"FINLAND";"PC";2012;2900
"FRANCE";"PC";2012;1682814
"GERMANY";"PC";2012;5388459
"ITALY";"PC";2012;396817
"NETHERLANDS";"PC";2012;24895
"PORTUGAL";"PC";2012;115735
"SPAIN";"PC";2012;1539680
"SWEDEN";"PC";2012;162814
"UNITED KINGDOM";"PC";2012;1464906
"CZECH REPUBLIC";"PC";2012;1171774
"HUNGARY";"PC";2012;215440
"POLAND";"PC";2012;539671
"ROMANIA";"PC";2012;326556
"SLOVAKIA";"PC";2012;926555
"SLOVENIA";"PC";2012;126836
"SERBIA";"PC";2012;10227
"RUSSIA";"PC";2012;1970087
"UKRAINE";"PC";2012;69687
"UZBEKISTAN";"PC";2012;144980
"TURKEY";"PC";2012;577296
"CANADA";"PC";2012;1040298
"MEXICO";"PC";2012;1810007
"USA";"PC";2012;4105874
"ARGENTINA";"PC";2012;497376
"BRAZIL";"PC";2012;2589236
"COLOMBIA";"PC";2012;70686
"VENEZUELA";"PC";2012;67226
"AUSTRALIA";"PC";2012;189949
"CHINA";"PC";2012;15523658
"INDIA";"PC";2012;3296240
"INDONESIA";"PC";2012;743501
"IRAN";"PC";2012;856927
"JAPAN";"PC";2012;8554503
"MALAYSIA";"PC";2012;509621
"PAKISTAN";"PC";2012;137424
"PHILIPPINES";"PC";2012;46390
"SOUTH KOREA";"PC";2012;4167089
"TAIWAN";"PC";2012;278043
"THAILAND";"PC";2012;945100
"VIETNAM";"PC";2012;38900
"EGYPT";"PC";2012;36880
"MOROCCO";"PC";2012;103364
"SOUTH AFRICA";"PC";2012;274873
"AUSTRIA";"PC";2013;146566
"BELGIUM";"PC";2013;465504
"FINLAND";"PC";2013;20500
"FRANCE";"PC";2013;1458000
"GERMANY";"PC";2013;5439904
"ITALY";"PC";2013;388465
"NETHERLANDS";"PC";2013;0
"PORTUGAL";"PC";2013;109698
"SPAIN";"PC";2013;1719700
"SWEDEN";"PC";2013;161080
"UNITED KINGDOM";"PC";2013;1509762
"CZECH REPUBLIC";"PC";2013;1128473
"HUNGARY";"PC";2013;220000
"POLAND";"PC";2013;475000
"ROMANIA";"PC";2013;410959
"SLOVAKIA";"PC";2013;975000
"SLOVENIA";"PC";2013;89395
"SERBIA";"PC";2013;10100
"RUSSIA";"PC";2013;1919636
"UKRAINE";"PC";2013;45758
"UZBEKISTAN";"PC";2013;133740
"TURKEY";"PC";2013;633604
"CANADA";"PC";2013;965191
"MEXICO";"PC";2013;1771987
"USA";"PC";2013;4368835
"ARGENTINA";"PC";2013;506539
"BRAZIL";"PC";2013;2722979
"COLOMBIA";"PC";2013;74900
"VENEZUELA";"PC";2013;45986
"AUSTRALIA";"PC";2013;185427
"CHINA";"PC";2013;18085213
"INDIA";"PC";2013;3138988
"INDONESIA";"PC";2013;924753
"IRAN";"PC";2013;630639
"JAPAN";"PC";2013;8189323
"MALAYSIA";"PC";2013;543892
"PAKISTAN";"PC";2013;121234
"PHILIPPINES";"PC";2013;48560
"SOUTH KOREA";"PC";2013;4122604
"TAIWAN";"PC";2013;291037
"THAILAND";"PC";2013;1071076
"VIETNAM";"PC";2013;38900
"EGYPT";"PC";2013;25650
"MOROCCO";"PC";2013;146842
"SOUTH AFRICA";"PC";2013;265257
"AUSTRIA";"PC";2014;135000
"BELGIUM";"PC";2014;481637
"FINLAND";"PC";2014;45000
"FRANCE";"PC";2014;1499464
"GERMANY";"PC";2014;5604026
"ITALY";"PC";2014;401317
"PORTUGAL";"PC";2014;117744
"SPAIN";"PC";2014;1898342
"SWEDEN";"PC";2014;154173
"UNITED KINGDOM";"PC";2014;1528148
"CZECH REPUBLIC";"PC";2014;1246506
"HUNGARY";"PC";2014;434069
"POLAND";"PC";2014;473000
"ROMANIA";"PC";2014;391422
"SLOVAKIA";"PC";2014;971160
"SLOVENIA";"PC";2014;118533
"SERBIA";"PC";2014;101576
"RUSSIA";"PC";2014;1692505
"BELARUS";"PC";2014;9350
"KAZAKHSTAN";"PC";2014;37157
"UKRAINE";"PC";2014;25941
"UZBEKISTAN";"PC";2014;245660
"TURKEY";"PC";2014;733439
"CANADA";"PC";2014;913533
"MEXICO";"PC";2014;1915709
"USA";"PC";2014;4253098
"ARGENTINA";"PC";2014;363711
"BRAZIL";"PC";2014;2314789
"COLOMBIA";"PC";2014;70149
"VENEZUELA";"PC";2014;11039
"AUSTRALIA";"PC";2014;145607
"BANGLADESH";"PC";2014;536
"CHINA";"PC";2014;19919795
"INDIA";"PC";2014;3158215
"INDONESIA";"PC";2014;1011260
"IRAN";"PC";2014;925975
"JAPAN";"PC";2014;8277070
"MALAYSIA";"PC";2014;547150
"PAKISTAN";"PC";2014;123900
"PHILIPPINES";"PC";2014;67401
"SOUTH KOREA";"PC";2014;4124116
"TAIWAN";"PC";2014;332629
"THAILAND";"PC";2014;742678
"VIETNAM";"PC";2014;44328
"ALGERIA";"PC";2014;1244
"EGYPT";"PC";2014;17542
"MOROCCO";"PC";2014;209999
"SOUTH AFRICA";"PC";2014;277491
"AUSTRIA";"PC";2015;109000
"BELGIUM";"PC";2015;369172
"FINLAND";"PC";2015;69000
"FRANCE";"PC";2015;1553800
"GERMANY";"PC";2015;5707938
"ITALY";"PC";2015;663139
"NETHERLANDS";"PC";2015;41870
"PORTUGAL";"PC";2015;115468
"SPAIN";"PC";2015;2218980
"SWEDEN";"PC";2015;188987
"UNITED KINGDOM";"PC";2015;1587677
"CZECH REPUBLIC";"PC";2015;1298236
"HUNGARY";"PC";2015;491720
"POLAND";"PC";2015;534700
"ROMANIA";"PC";2015;387171
"SLOVAKIA";"PC";2015;1000001
"SLOVENIA";"PC";2015;133092
"SERBIA";"PC";2015;82400
"RUSSIA";"PC";2015;1214849
"BELARUS";"PC";2015;8469
"KAZAKHSTAN";"PC";2015;12453
"UKRAINE";"PC";2015;5654
"UZBEKISTAN";"PC";2015;185400
"TURKEY";"PC";2015;791027
"CANADA";"PC";2015;888565
"MEXICO";"PC";2015;1968054
"USA";"PC";2015;4163679
"ARGENTINA";"PC";2015;308756
"BRAZIL";"PC";2015;2018954
"COLOMBIA";"PC";2015;77000
"VENEZUELA";"PC";2015;9739
"AUSTRALIA";"PC";2015;159872
"BANGLADESH";"PC";2015;540
"CHINA";"PC";2015;21079427
"INDIA";"PC";2015;3378063
"INDONESIA";"PC";2015;824445
"IRAN";"PC";2015;884866
"JAPAN";"PC";2015;7830722
"MALAYSIA";"PC";2015;558324
"PAKISTAN";"PC";2015;182548
"PHILIPPINES";"PC";2015;77539
"SOUTH KOREA";"PC";2015;4135108
"TAIWAN";"PC";2015;298418
"THAILAND";"PC";2015;772250
"VIETNAM";"PC";2015;45400
"ALGERIA";"PC";2015;20000
"EGYPT";"PC";2015;12000
"MOROCCO";"PC";2015;260129
"SOUTH AFRICA";"PC";2015;341025
"AUSTRIA";"HT";2005;22567
"BELGIUM";"HT";2005;30377
"FINLAND";"HT";2005;411
"FRANCE";"HT";2005;50159
"GERMANY";"HT";2005;205696
"ITALY";"HT";2005;39616
"NETHERLANDS";"HT";2005;63643
"PORTUGAL";"HT";2005;3232
"SPAIN";"HT";2005;74081
"SWEDEN";"HT";2005;41346
"UNITED KINGDOM";"HT";2005;18374
"CZECH REPUBLIC";"HT";2005;2044
"HUNGARY";"HT";2005;2473
"POLAND";"HT";2005;324
"ROMANIA";"HT";2005;186
"SERBIA";"HT";2005;477
"RUSSIA";"HT";2005;65965
"BELARUS";"HT";2005;22500
"UKRAINE";"HT";2005;3664
"TURKEY";"HT";2005;37227
"CANADA";"HT";2005;64812
"MEXICO";"HT";2005;61759
"USA";"HT";2005;422403
"ARGENTINA";"HT";2005;19949
"BRAZIL";"HT";2005;117892
"AUSTRALIA";"HT";2005;5728
"CHINA";"HT";2005;563486
"INDIA";"HT";2005;220654
"INDONESIA";"HT";2005;19032
"JAPAN";"HT";2005;723663
"SOUTH KOREA";"HT";2005;29699
"TAIWAN";"HT";2005;5089
"THAILAND";"HT";2005;15364
"EGYPT";"HT";2005;3882
"SOUTH AFRICA";"HT";2005;26727
"AUSTRIA";"HT";2006;26646
"BELGIUM";"HT";2006;34984
"FINLAND";"HT";2006;353
"FRANCE";"HT";2006;55439
"GERMANY";"HT";2006;209385
"ITALY";"HT";2006;44020
"NETHERLANDS";"HT";2006;70202
"PORTUGAL";"HT";2006;5248
"SPAIN";"HT";2006;77882
"SWEDEN";"HT";2006;35485
"UNITED KINGDOM";"HT";2006;18327
"CZECH REPUBLIC";"HT";2006;1979
"HUNGARY";"HT";2006;2600
"POLAND";"HT";2006;0
"ROMANIA";"HT";2006;516
"SLOVENIA";"HT";2006;0
"SERBIA";"HT";2006;413
"RUSSIA";"HT";2006;88073
"BELARUS";"HT";2006;22500
"UKRAINE";"HT";2006;2870
"TURKEY";"HT";2006;37026
"CANADA";"HT";2006;74925
"MEXICO";"HT";2006;89735
"USA";"HT";2006;461941
"ARGENTINA";"HT";2006;22372
"BRAZIL";"HT";2006;106001
"AUSTRALIA";"HT";2006;5390
"CHINA";"HT";2006;702870
"INDIA";"HT";2006;280237
"INDONESIA";"HT";2006;38469
"JAPAN";"HT";2006;699410
"MALAYSIA";"HT";2006;18254
"TAIWAN";"HT";2006;5386
